МоАбу-Даби	24.47, 54.37
Конакри	9.54, -13.68
Копенгаген	55.68, 12.57
Куала-Лумпур	3.14, 101.69
Либревиль	0.39, 9.45
Лилонгве	-13.97, 33.79
Лима	-12.04, -77.03
Лиссабон	38.72, -9.13
Ломе	6.13, 1.22
Лондон	51.51, -0.13
Луанда	-8.84, 13.23
Лусака	-15.41, 28.29
Любляна	46.05, 14.51
Люксембург	49.61, 6.13
Маджуро	7.09, 171.38
Мадрид	40.42, -3.7
Малабо	3.76, 8.78
Мале	4.18, 73.51
Манагуа	12.13, -86.25
Манама	26.23, 50.59
Манила	14.6, 120.98
Мапуту	-25.97, 32.58
Масеру	-29.32, 27.48
Маскат	23.58, 58.41
Мбабане	-26.32, 31.13
Мехико	19.43, -99.13
Минск	53.9, 27.57
Могадишо	2.04, 45.34
Монако	43.73, 7.42
Монровия	6.3, -10.8
Монтевидео	-34.9, -56.19
Морони	-11.7, 43.26
Москва	55.75, 37.62
Найроби	-1.28, 36.82
Нассау	25.06, -77.34
Нджамена	12.11, 15.04
Ниамей	13.51, 2.11
Никосия	35.18, 33.36
Нуакшот	18.09, -15.98
Нукуалофа	-21.14, -175.2
Нью-Дели	28.64, 77.22
Осло	59.91, 10.75
Оттава	45.41, -75.7
Паликир	6.92, 158.16
Панама	8.99, -79.52
Парамарибо	5.87, -55.17
Париж	48.85, 2.35
Пекин	39.91, 116.4
Пномпень	11.56, 104.92
Подгорица	42.44, 19.26
Порт-Вила	-17.74, 168.31
Порт-Луи	-20.16, 57.5
Порт-Морсби	-9.48, 147.15
Порт-о-Пренс	18.54, -72.34
Порт-оф-Спейн	10.67, -61.52
Порто-Ново	6.5, 2.6
Прага	50.09, 14.42
Прая	14.93, -23.51
Претория	-25.74, 28.19
Приштина	42.67, 21.17
Пхеньян	39.03, 125.75
Рабат	34.01, -6.83
Рейкьявик	64.14, -21.9
Рига	56.95, 24.11
Рим	41.89, 12.51
Розо	15.3, -61.39
Сан-Марино	43.94, 12.45
Сан-Сальвадор	13.69, -89.19
Сан-Томе	0.34, 6.73
Сан-Хосе	9.93, -84.08
Сана	15.35, 44.21
Санто-Доминго	18.47, -69.89
Сантьяго	-33.46, -70.65
Сараево	43.85, 18.36
Сент-Джонс	17.12, -61.84
Сент-Джоржес	12.05, -61.75
Сеул	37.57, 126.98
Сингапур	1.29, 103.85
Скопье	42, 21.43
София	42.7, 23.32
Стокгольм	59.33, 18.06
Сува	-18.14, 178.44
Сукре	-19.03, -65.26
Тайбэй	25.05, 121.53
Таллинн	59.44, 24.75
Ташкент	41.26, 69.22
Тбилиси	41.69, 44.83
Тегеран	35.69, 51.42
Тегусигальпа	14.08, -87.21
Тирана	41.33, 19.82
Токио	35.69, 139.69
Триполи	32.89, 13.19
Тунис	36.82, 10.17
Тхимпху	27.47, 89.64
Уагадугу	12.37, -1.53
Улан-Батор	47.91, 106.88
Фритаун	8.49, -13.24
Ханой	21.02, 105.84
Хараре	-17.83, 31.05
Хартум	15.55, 32.53
Хельсинки	60.17, 24.94
Хониара	-9.43, 159.95
Эль-Кувейт	29.37, 47.98
Эр-Рияд	24.69, 46.72
Южная Тарава	1.33, 172.98
Ямусукро	6.82, -5.28
Ярен	-0.55, 166.93
Яунде	3.87, 11.52
